geography,geography_type,quarter,year,quarter_number,quarter_index,delinquency_rate_pct
Thunder Bay,cma,2022Q1,2022,1,8089,0.21
Thunder Bay,cma,2022Q2,2022,2,8090,0.18
Thunder Bay,cma,2022Q3,2022,3,8091,0.2
Thunder Bay,cma,2022Q4,2022,4,8092,0.26
Thunder Bay,cma,2023Q1,2023,1,8093,0.21
Thunder Bay,cma,2023Q2,2023,2,8094,0.19
Thunder Bay,cma,2023Q3,2023,3,8095,0.16
Thunder Bay,cma,2023Q4,2023,4,8096,0.15
Thunder Bay,cma,2024Q1,2024,1,8097,0.24
Thunder Bay,cma,2024Q2,2024,2,8098,0.2
Thunder Bay,cma,2024Q3,2024,3,8099,0.22
Thunder Bay,cma,2024Q4,2024,4,8100,0.31
Thunder Bay,cma,2025Q1,2025,1,8101,0.26
Thunder Bay,cma,2025Q2,2025,2,8102,0.3
Thunder Bay,cma,2025Q3,2025,3,8103,0.24
Thunder Bay,cma,2025Q4,2025,4,8104,0.25
Toronto,cma,2012Q3,2012,3,8051,0.24
Toronto,cma,2012Q4,2012,4,8052,0.23
Toronto,cma,2013Q1,2013,1,8053,0.23
Toronto,cma,2013Q2,2013,2,8054,0.21
Toronto,cma,2013Q3,2013,3,8055,0.2
Toronto,cma,2013Q4,2013,4,8056,0.2
Toronto,cma,2014Q1,2014,1,8057,0.22
Toronto,cma,2014Q2,2014,2,8058,0.19
Toronto,cma,2014Q3,2014,3,8059,0.19
Toronto,cma,2014Q4,2014,4,8060,0.18
Toronto,cma,2015Q1,2015,1,8061,0.19
Toronto,cma,2015Q2,2015,2,8062,0.16
Toronto,cma,2015Q3,2015,3,8063,0.15
Toronto,cma,2015Q4,2015,4,8064,0.15
Toronto,cma,2016Q1,2016,1,8065,0.15
Toronto,cma,2016Q2,2016,2,8066,0.14
Toronto,cma,2016Q3,2016,3,8067,0.13
Toronto,cma,2016Q4,2016,4,8068,0.12
Toronto,cma,2017Q1,2017,1,8069,0.11
Toronto,cma,2017Q2,2017,2,8070,0.1
Toronto,cma,2017Q3,2017,3,8071,0.09
Toronto,cma,2017Q4,2017,4,8072,0.09
Toronto,cma,2018Q1,2018,1,8073,0.09
Toronto,cma,2018Q2,2018,2,8074,0.1
Toronto,cma,2018Q3,2018,3,8075,0.1
Toronto,cma,2018Q4,2018,4,8076,0.1
Toronto,cma,2019Q1,2019,1,8077,0.1
Toronto,cma,2019Q2,2019,2,8078,0.1
Toronto,cma,2019Q3,2019,3,8079,0.11
Toronto,cma,2019Q4,2019,4,8080,0.11
Toronto,cma,2020Q1,2020,1,8081,0.11
Toronto,cma,2020Q2,2020,2,8082,0.11
Toronto,cma,2020Q3,2020,3,8083,0.12
Toronto,cma,2020Q4,2020,4,8084,0.1
Toronto,cma,2021Q1,2021,1,8085,0.1
Toronto,cma,2021Q2,2021,2,8086,0.09
Toronto,cma,2021Q3,2021,3,8087,0.08
Toronto,cma,2021Q4,2021,4,8088,0.07
Toronto,cma,2022Q1,2022,1,8089,0.07
Toronto,cma,2022Q2,2022,2,8090,0.06
Toronto,cma,2022Q3,2022,3,8091,0.06
Toronto,cma,2022Q4,2022,4,8092,0.07
Toronto,cma,2023Q1,2023,1,8093,0.08
Toronto,cma,2023Q2,2023,2,8094,0.08
Toronto,cma,2023Q3,2023,3,8095,0.1
Toronto,cma,2023Q4,2023,4,8096,0.12
Toronto,cma,2024Q1,2024,1,8097,0.14
Toronto,cma,2024Q2,2024,2,8098,0.15
Toronto,cma,2024Q3,2024,3,8099,0.17
Toronto,cma,2024Q4,2024,4,8100,0.2
Toronto,cma,2025Q1,2025,1,8101,0.23
Toronto,cma,2025Q2,2025,2,8102,0.24
Toronto,cma,2025Q3,2025,3,8103,0.26
Toronto,cma,2025Q4,2025,4,8104,0.29
Trois-Riviéres,cma,2012Q3,2012,3,8051,0.37
Trois-Riviéres,cma,2012Q4,2012,4,8052,0.34
Trois-Riviéres,cma,2013Q1,2013,1,8053,0.34
Trois-Riviéres,cma,2013Q2,2013,2,8054,0.33
Trois-Riviéres,cma,2013Q3,2013,3,8055,0.36
Trois-Riviéres,cma,2013Q4,2013,4,8056,0.43
Trois-Riviéres,cma,2014Q1,2014,1,8057,0.38
Trois-Riviéres,cma,2014Q2,2014,2,8058,0.39
Trois-Riviéres,cma,2014Q3,2014,3,8059,0.39
Trois-Riviéres,cma,2014Q4,2014,4,8060,0.39
Trois-Riviéres,cma,2015Q1,2015,1,8061,0.46
Trois-Riviéres,cma,2015Q2,2015,2,8062,0.42
Trois-Riviéres,cma,2015Q3,2015,3,8063,0.45
Trois-Riviéres,cma,2015Q4,2015,4,8064,0.51
Trois-Riviéres,cma,2016Q1,2016,1,8065,0.59
Trois-Riviéres,cma,2016Q2,2016,2,8066,0.64
Trois-Riviéres,cma,2016Q3,2016,3,8067,0.67
Trois-Riviéres,cma,2016Q4,2016,4,8068,0.59
Trois-Riviéres,cma,2017Q1,2017,1,8069,0.61
Trois-Riviéres,cma,2017Q2,2017,2,8070,0.56
Trois-Riviéres,cma,2017Q3,2017,3,8071,0.51
Trois-Riviéres,cma,2017Q4,2017,4,8072,0.42
Trois-Riviéres,cma,2018Q1,2018,1,8073,0.47
Trois-Riviéres,cma,2018Q2,2018,2,8074,0.47
Trois-Riviéres,cma,2018Q3,2018,3,8075,0.48
Trois-Riviéres,cma,2018Q4,2018,4,8076,0.5
Trois-Riviéres,cma,2019Q1,2019,1,8077,0.52
Trois-Riviéres,cma,2019Q2,2019,2,8078,0.43
Trois-Riviéres,cma,2019Q3,2019,3,8079,0.44
Trois-Riviéres,cma,2019Q4,2019,4,8080,0.45
Trois-Riviéres,cma,2020Q1,2020,1,8081,0.43
Trois-Riviéres,cma,2020Q2,2020,2,8082,0.37
Trois-Riviéres,cma,2020Q3,2020,3,8083,0.39
Trois-Riviéres,cma,2020Q4,2020,4,8084,0.3
Trois-Riviéres,cma,2021Q1,2021,1,8085,0.3
Trois-Riviéres,cma,2021Q2,2021,2,8086,0.3
Trois-Riviéres,cma,2021Q3,2021,3,8087,0.3
Trois-Riviéres,cma,2021Q4,2021,4,8088,0.26
Trois-Riviéres,cma,2022Q1,2022,1,8089,0.2
Trois-Riviéres,cma,2022Q2,2022,2,8090,0.17
Trois-Riviéres,cma,2022Q3,2022,3,8091,0.14
Trois-Riviéres,cma,2022Q4,2022,4,8092,0.13
Trois-Riviéres,cma,2023Q1,2023,1,8093,0.1
Trois-Riviéres,cma,2023Q2,2023,2,8094,0.09
Trois-Riviéres,cma,2023Q3,2023,3,8095,0.12
Trois-Riviéres,cma,2023Q4,2023,4,8096,0.13
Trois-Riviéres,cma,2024Q1,2024,1,8097,0.14
Trois-Riviéres,cma,2024Q2,2024,2,8098,0.17
Trois-Riviéres,cma,2024Q3,2024,3,8099,0.15
Trois-Riviéres,cma,2024Q4,2024,4,8100,0.13
Trois-Riviéres,cma,2025Q1,2025,1,8101,0.15
Trois-Riviéres,cma,2025Q2,2025,2,8102,0.09
Trois-Riviéres,cma,2025Q3,2025,3,8103,0.11
Trois-Riviéres,cma,2025Q4,2025,4,8104,0.13
Vancouver,cma,2012Q3,2012,3,8051,0.29
Vancouver,cma,2012Q4,2012,4,8052,0.29
Vancouver,cma,2013Q1,2013,1,8053,0.31
Vancouver,cma,2013Q2,2013,2,8054,0.31
Vancouver,cma,2013Q3,2013,3,8055,0.31
Vancouver,cma,2013Q4,2013,4,8056,0.31
Vancouver,cma,2014Q1,2014,1,8057,0.31
Vancouver,cma,2014Q2,2014,2,8058,0.3
Vancouver,cma,2014Q3,2014,3,8059,0.3
Vancouver,cma,2014Q4,2014,4,8060,0.29
Vancouver,cma,2015Q1,2015,1,8061,0.29
Vancouver,cma,2015Q2,2015,2,8062,0.28
Vancouver,cma,2015Q3,2015,3,8063,0.25
Vancouver,cma,2015Q4,2015,4,8064,0.23
Vancouver,cma,2016Q1,2016,1,8065,0.23
Vancouver,cma,2016Q2,2016,2,8066,0.2
Vancouver,cma,2016Q3,2016,3,8067,0.17
Vancouver,cma,2016Q4,2016,4,8068,0.15
Vancouver,cma,2017Q1,2017,1,8069,0.14
Vancouver,cma,2017Q2,2017,2,8070,0.13
Vancouver,cma,2017Q3,2017,3,8071,0.11
Vancouver,cma,2017Q4,2017,4,8072,0.11
Vancouver,cma,2018Q1,2018,1,8073,0.11
Vancouver,cma,2018Q2,2018,2,8074,0.1
Vancouver,cma,2018Q3,2018,3,8075,0.11
Vancouver,cma,2018Q4,2018,4,8076,0.11
Vancouver,cma,2019Q1,2019,1,8077,0.12
Vancouver,cma,2019Q2,2019,2,8078,0.12
Vancouver,cma,2019Q3,2019,3,8079,0.12
Vancouver,cma,2019Q4,2019,4,8080,0.12
Vancouver,cma,2020Q1,2020,1,8081,0.13
Vancouver,cma,2020Q2,2020,2,8082,0.15
Vancouver,cma,2020Q3,2020,3,8083,0.15
Vancouver,cma,2020Q4,2020,4,8084,0.13
Vancouver,cma,2021Q1,2021,1,8085,0.14
Vancouver,cma,2021Q2,2021,2,8086,0.12
Vancouver,cma,2021Q3,2021,3,8087,0.11
Vancouver,cma,2021Q4,2021,4,8088,0.1
Vancouver,cma,2022Q1,2022,1,8089,0.1
Vancouver,cma,2022Q2,2022,2,8090,0.09
Vancouver,cma,2022Q3,2022,3,8091,0.08
Vancouver,cma,2022Q4,2022,4,8092,0.08
Vancouver,cma,2023Q1,2023,1,8093,0.08
Vancouver,cma,2023Q2,2023,2,8094,0.09
Vancouver,cma,2023Q3,2023,3,8095,0.1
Vancouver,cma,2023Q4,2023,4,8096,0.12
Vancouver,cma,2024Q1,2024,1,8097,0.13
Vancouver,cma,2024Q2,2024,2,8098,0.15
Vancouver,cma,2024Q3,2024,3,8099,0.14
Vancouver,cma,2024Q4,2024,4,8100,0.16
Vancouver,cma,2025Q1,2025,1,8101,0.17
Vancouver,cma,2025Q2,2025,2,8102,0.18
Vancouver,cma,2025Q3,2025,3,8103,0.18
Vancouver,cma,2025Q4,2025,4,8104,0.21
Victoria,cma,2012Q3,2012,3,8051,0.31
Victoria,cma,2012Q4,2012,4,8052,0.35
Victoria,cma,2013Q1,2013,1,8053,0.39
Victoria,cma,2013Q2,2013,2,8054,0.36
Victoria,cma,2013Q3,2013,3,8055,0.36
Victoria,cma,2013Q4,2013,4,8056,0.36
Victoria,cma,2014Q1,2014,1,8057,0.39
Victoria,cma,2014Q2,2014,2,8058,0.37
Victoria,cma,2014Q3,2014,3,8059,0.35
Victoria,cma,2014Q4,2014,4,8060,0.36
Victoria,cma,2015Q1,2015,1,8061,0.35
Victoria,cma,2015Q2,2015,2,8062,0.31
Victoria,cma,2015Q3,2015,3,8063,0.29
Victoria,cma,2015Q4,2015,4,8064,0.29
Victoria,cma,2016Q1,2016,1,8065,0.29
Victoria,cma,2016Q2,2016,2,8066,0.29
Victoria,cma,2016Q3,2016,3,8067,0.24
Victoria,cma,2016Q4,2016,4,8068,0.22
Victoria,cma,2017Q1,2017,1,8069,0.22
Victoria,cma,2017Q2,2017,2,8070,0.19
Victoria,cma,2017Q3,2017,3,8071,0.13
Victoria,cma,2017Q4,2017,4,8072,0.12
Victoria,cma,2018Q1,2018,1,8073,0.12
Victoria,cma,2018Q2,2018,2,8074,0.13
Victoria,cma,2018Q3,2018,3,8075,0.12
Victoria,cma,2018Q4,2018,4,8076,0.12
Victoria,cma,2019Q1,2019,1,8077,0.13
Victoria,cma,2019Q2,2019,2,8078,0.12
Victoria,cma,2019Q3,2019,3,8079,0.11
Victoria,cma,2019Q4,2019,4,8080,0.11
Victoria,cma,2020Q1,2020,1,8081,0.11
Victoria,cma,2020Q2,2020,2,8082,0.11
Victoria,cma,2020Q3,2020,3,8083,0.12
Victoria,cma,2020Q4,2020,4,8084,0.12
Victoria,cma,2021Q1,2021,1,8085,0.1
Victoria,cma,2021Q2,2021,2,8086,0.08
Victoria,cma,2021Q3,2021,3,8087,0.09
Victoria,cma,2021Q4,2021,4,8088,0.09
Victoria,cma,2022Q1,2022,1,8089,0.08
Victoria,cma,2022Q2,2022,2,8090,0.08
Victoria,cma,2022Q3,2022,3,8091,0.06
Victoria,cma,2022Q4,2022,4,8092,0.08
Victoria,cma,2023Q1,2023,1,8093,0.07
Victoria,cma,2023Q2,2023,2,8094,0.09
Victoria,cma,2023Q3,2023,3,8095,0.1
Victoria,cma,2023Q4,2023,4,8096,0.08
Victoria,cma,2024Q1,2024,1,8097,0.07
Victoria,cma,2024Q2,2024,2,8098,0.1
Victoria,cma,2024Q3,2024,3,8099,0.1
Victoria,cma,2024Q4,2024,4,8100,0.11
Victoria,cma,2025Q1,2025,1,8101,0.09
Victoria,cma,2025Q2,2025,2,8102,0.1
Victoria,cma,2025Q3,2025,3,8103,0.09
Victoria,cma,2025Q4,2025,4,8104,0.1
Windsor,cma,2012Q3,2012,3,8051,0.54
Windsor,cma,2012Q4,2012,4,8052,0.53
Windsor,cma,2013Q1,2013,1,8053,0.51
Windsor,cma,2013Q2,2013,2,8054,0.47
Windsor,cma,2013Q3,2013,3,8055,0.44
Windsor,cma,2013Q4,2013,4,8056,0.4
Windsor,cma,2014Q1,2014,1,8057,0.4
Windsor,cma,2014Q2,2014,2,8058,0.34
Windsor,cma,2014Q3,2014,3,8059,0.38
Windsor,cma,2014Q4,2014,4,8060,0.38
Windsor,cma,2015Q1,2015,1,8061,0.36
Windsor,cma,2015Q2,2015,2,8062,0.35
Windsor,cma,2015Q3,2015,3,8063,0.35
Windsor,cma,2015Q4,2015,4,8064,0.4
Windsor,cma,2016Q1,2016,1,8065,0.33
Windsor,cma,2016Q2,2016,2,8066,0.26
Windsor,cma,2016Q3,2016,3,8067,0.24
Windsor,cma,2016Q4,2016,4,8068,0.24
Windsor,cma,2017Q1,2017,1,8069,0.22
Windsor,cma,2017Q2,2017,2,8070,0.2
Windsor,cma,2017Q3,2017,3,8071,0.21
Windsor,cma,2017Q4,2017,4,8072,0.19
Windsor,cma,2018Q1,2018,1,8073,0.18
Windsor,cma,2018Q2,2018,2,8074,0.18
Windsor,cma,2018Q3,2018,3,8075,0.16
Windsor,cma,2018Q4,2018,4,8076,0.16
Windsor,cma,2019Q1,2019,1,8077,0.15
Windsor,cma,2019Q2,2019,2,8078,0.15
Windsor,cma,2019Q3,2019,3,8079,0.16
Windsor,cma,2019Q4,2019,4,8080,0.15
Windsor,cma,2020Q1,2020,1,8081,0.13
Windsor,cma,2020Q2,2020,2,8082,0.12
Windsor,cma,2020Q3,2020,3,8083,0.16
Windsor,cma,2020Q4,2020,4,8084,0.11
Windsor,cma,2021Q1,2021,1,8085,0.14
Windsor,cma,2021Q2,2021,2,8086,0.09
Windsor,cma,2021Q3,2021,3,8087,0.09
Windsor,cma,2021Q4,2021,4,8088,0.09
Windsor,cma,2022Q1,2022,1,8089,0.08
Windsor,cma,2022Q2,2022,2,8090,0.07
Windsor,cma,2022Q3,2022,3,8091,0.06
Windsor,cma,2022Q4,2022,4,8092,0.09
Windsor,cma,2023Q1,2023,1,8093,0.1
Windsor,cma,2023Q2,2023,2,8094,0.09
Windsor,cma,2023Q3,2023,3,8095,0.1
Windsor,cma,2023Q4,2023,4,8096,0.12
Windsor,cma,2024Q1,2024,1,8097,0.14
Windsor,cma,2024Q2,2024,2,8098,0.15
Windsor,cma,2024Q3,2024,3,8099,0.18
Windsor,cma,2024Q4,2024,4,8100,0.15
Windsor,cma,2025Q1,2025,1,8101,0.16
Windsor,cma,2025Q2,2025,2,8102,0.18
Windsor,cma,2025Q3,2025,3,8103,0.19
Windsor,cma,2025Q4,2025,4,8104,0.22
Winnipeg,cma,2012Q3,2012,3,8051,0.2
Winnipeg,cma,2012Q4,2012,4,8052,0.22
Winnipeg,cma,2013Q1,2013,1,8053,0.23
Winnipeg,cma,2013Q2,2013,2,8054,0.21
Winnipeg,cma,2013Q3,2013,3,8055,0.23
Winnipeg,cma,2013Q4,2013,4,8056,0.22
Winnipeg,cma,2014Q1,2014,1,8057,0.23
Winnipeg,cma,2014Q2,2014,2,8058,0.2
Winnipeg,cma,2014Q3,2014,3,8059,0.2
Winnipeg,cma,2014Q4,2014,4,8060,0.21
Winnipeg,cma,2015Q1,2015,1,8061,0.24
Winnipeg,cma,2015Q2,2015,2,8062,0.23
Winnipeg,cma,2015Q3,2015,3,8063,0.22
Winnipeg,cma,2015Q4,2015,4,8064,0.26
Winnipeg,cma,2016Q1,2016,1,8065,0.27
Winnipeg,cma,2016Q2,2016,2,8066,0.29
Winnipeg,cma,2016Q3,2016,3,8067,0.29
Winnipeg,cma,2016Q4,2016,4,8068,0.29
Winnipeg,cma,2017Q1,2017,1,8069,0.29
Winnipeg,cma,2017Q2,2017,2,8070,0.27
Winnipeg,cma,2017Q3,2017,3,8071,0.26
Winnipeg,cma,2017Q4,2017,4,8072,0.24
Winnipeg,cma,2018Q1,2018,1,8073,0.24
Winnipeg,cma,2018Q2,2018,2,8074,0.26
Winnipeg,cma,2018Q3,2018,3,8075,0.25
Winnipeg,cma,2018Q4,2018,4,8076,0.28
Winnipeg,cma,2019Q1,2019,1,8077,0.28
Winnipeg,cma,2019Q2,2019,2,8078,0.27
Winnipeg,cma,2019Q3,2019,3,8079,0.29
Winnipeg,cma,2019Q4,2019,4,8080,0.31
Winnipeg,cma,2020Q1,2020,1,8081,0.32
Winnipeg,cma,2020Q2,2020,2,8082,0.32
Winnipeg,cma,2020Q3,2020,3,8083,0.29
Winnipeg,cma,2020Q4,2020,4,8084,0.24
Winnipeg,cma,2021Q1,2021,1,8085,0.24
Winnipeg,cma,2021Q2,2021,2,8086,0.21
Winnipeg,cma,2021Q3,2021,3,8087,0.2
Winnipeg,cma,2021Q4,2021,4,8088,0.19
Winnipeg,cma,2022Q1,2022,1,8089,0.19
Winnipeg,cma,2022Q2,2022,2,8090,0.17
Winnipeg,cma,2022Q3,2022,3,8091,0.17
Winnipeg,cma,2022Q4,2022,4,8092,0.17
Winnipeg,cma,2023Q1,2023,1,8093,0.18
Winnipeg,cma,2023Q2,2023,2,8094,0.18
Winnipeg,cma,2023Q3,2023,3,8095,0.18
Winnipeg,cma,2023Q4,2023,4,8096,0.2
Winnipeg,cma,2024Q1,2024,1,8097,0.21
Winnipeg,cma,2024Q2,2024,2,8098,0.2
Winnipeg,cma,2024Q3,2024,3,8099,0.22
Winnipeg,cma,2024Q4,2024,4,8100,0.23
Winnipeg,cma,2025Q1,2025,1,8101,0.25
Winnipeg,cma,2025Q2,2025,2,8102,0.23
Winnipeg,cma,2025Q3,2025,3,8103,0.23
Winnipeg,cma,2025Q4,2025,4,8104,0.25
Canada,country,2012Q3,2012,3,8051,0.38
Canada,country,2012Q4,2012,4,8052,0.37
Canada,country,2013Q1,2013,1,8053,0.37
Canada,country,2013Q2,2013,2,8054,0.35
Canada,country,2013Q3,2013,3,8055,0.35
Canada,country,2013Q4,2013,4,8056,0.35
Canada,country,2014Q1,2014,1,8057,0.37
Canada,country,2014Q2,2014,2,8058,0.34
Canada,country,2014Q3,2014,3,8059,0.34
Canada,country,2014Q4,2014,4,8060,0.35
Canada,country,2015Q1,2015,1,8061,0.36
Canada,country,2015Q2,2015,2,8062,0.35
Canada,country,2015Q3,2015,3,8063,0.35
Canada,country,2015Q4,2015,4,8064,0.35
Canada,country,2016Q1,2016,1,8065,0.36
Canada,country,2016Q2,2016,2,8066,0.35
Canada,country,2016Q3,2016,3,8067,0.35
Canada,country,2016Q4,2016,4,8068,0.34
Canada,country,2017Q1,2017,1,8069,0.34
Canada,country,2017Q2,2017,2,8070,0.32
Canada,country,2017Q3,2017,3,8071,0.3
Canada,country,2017Q4,2017,4,8072,0.29
Canada,country,2018Q1,2018,1,8073,0.29
Canada,country,2018Q2,2018,2,8074,0.28
Canada,country,2018Q3,2018,3,8075,0.28
Canada,country,2018Q4,2018,4,8076,0.3
Canada,country,2019Q1,2019,1,8077,0.3
Canada,country,2019Q2,2019,2,8078,0.29
Canada,country,2019Q3,2019,3,8079,0.29
Canada,country,2019Q4,2019,4,8080,0.29
Canada,country,2020Q1,2020,1,8081,0.29
Canada,country,2020Q2,2020,2,8082,0.29
Canada,country,2020Q3,2020,3,8083,0.29
Canada,country,2020Q4,2020,4,8084,0.25
Canada,country,2021Q1,2021,1,8085,0.24
Canada,country,2021Q2,2021,2,8086,0.21
Canada,country,2021Q3,2021,3,8087,0.2
Canada,country,2021Q4,2021,4,8088,0.19
Canada,country,2022Q1,2022,1,8089,0.17
Canada,country,2022Q2,2022,2,8090,0.16
Canada,country,2022Q3,2022,3,8091,0.14
Canada,country,2022Q4,2022,4,8092,0.14
Canada,country,2023Q1,2023,1,8093,0.15
Canada,country,2023Q2,2023,2,8094,0.15
Canada,country,2023Q3,2023,3,8095,0.15
Canada,country,2023Q4,2023,4,8096,0.17
Canada,country,2024Q1,2024,1,8097,0.19
Canada,country,2024Q2,2024,2,8098,0.19
Canada,country,2024Q3,2024,3,8099,0.2
Canada,country,2024Q4,2024,4,8100,0.21
Canada,country,2025Q1,2025,1,8101,0.23
Canada,country,2025Q2,2025,2,8102,0.22
Canada,country,2025Q3,2025,3,8103,0.22
Canada,country,2025Q4,2025,4,8104,0.24
Alberta,province,2012Q3,2012,3,8051,0.6
Alberta,province,2012Q4,2012,4,8052,0.55
Alberta,province,2013Q1,2013,1,8053,0.52
Alberta,province,2013Q2,2013,2,8054,0.47
Alberta,province,2013Q3,2013,3,8055,0.45
Alberta,province,2013Q4,2013,4,8056,0.43
Alberta,province,2014Q1,2014,1,8057,0.42
Alberta,province,2014Q2,2014,2,8058,0.37
Alberta,province,2014Q3,2014,3,8059,0.34
Alberta,province,2014Q4,2014,4,8060,0.32
Alberta,province,2015Q1,2015,1,8061,0.32
Alberta,province,2015Q2,2015,2,8062,0.33
Alberta,province,2015Q3,2015,3,8063,0.35
Alberta,province,2015Q4,2015,4,8064,0.36
Alberta,province,2016Q1,2016,1,8065,0.41
Alberta,province,2016Q2,2016,2,8066,0.45
Alberta,province,2016Q3,2016,3,8067,0.53
Alberta,province,2016Q4,2016,4,8068,0.53
Alberta,province,2017Q1,2017,1,8069,0.54
Alberta,province,2017Q2,2017,2,8070,0.52
Alberta,province,2017Q3,2017,3,8071,0.51
Alberta,province,2017Q4,2017,4,8072,0.5
Alberta,province,2018Q1,2018,1,8073,0.5
Alberta,province,2018Q2,2018,2,8074,0.46
Alberta,province,2018Q3,2018,3,8075,0.47
Alberta,province,2018Q4,2018,4,8076,0.5
Alberta,province,2019Q1,2019,1,8077,0.5
Alberta,province,2019Q2,2019,2,8078,0.51
Alberta,province,2019Q3,2019,3,8079,0.5
Alberta,province,2019Q4,2019,4,8080,0.49
Alberta,province,2020Q1,2020,1,8081,0.51
Alberta,province,2020Q2,2020,2,8082,0.51
Alberta,province,2020Q3,2020,3,8083,0.49
Alberta,province,2020Q4,2020,4,8084,0.44
Alberta,province,2021Q1,2021,1,8085,0.45
Alberta,province,2021Q2,2021,2,8086,0.42
Alberta,province,2021Q3,2021,3,8087,0.41
Alberta,province,2021Q4,2021,4,8088,0.41
Alberta,province,2022Q1,2022,1,8089,0.38
Alberta,province,2022Q2,2022,2,8090,0.34
Alberta,province,2022Q3,2022,3,8091,0.31
Alberta,province,2022Q4,2022,4,8092,0.3
Alberta,province,2023Q1,2023,1,8093,0.3
Alberta,province,2023Q2,2023,2,8094,0.28
Alberta,province,2023Q3,2023,3,8095,0.27
Alberta,province,2023Q4,2023,4,8096,0.28
Alberta,province,2024Q1,2024,1,8097,0.28
Alberta,province,2024Q2,2024,2,8098,0.28
Alberta,province,2024Q3,2024,3,8099,0.26
Alberta,province,2024Q4,2024,4,8100,0.27
Alberta,province,2025Q1,2025,1,8101,0.28
Alberta,province,2025Q2,2025,2,8102,0.26
Alberta,province,2025Q3,2025,3,8103,0.25
Alberta,province,2025Q4,2025,4,8104,0.25
British Columbia,province,2012Q3,2012,3,8051,0.42
British Columbia,province,2012Q4,2012,4,8052,0.42
British Columbia,province,2013Q1,2013,1,8053,0.43
British Columbia,province,2013Q2,2013,2,8054,0.43
British Columbia,province,2013Q3,2013,3,8055,0.42
British Columbia,province,2013Q4,2013,4,8056,0.43
British Columbia,province,2014Q1,2014,1,8057,0.43
British Columbia,province,2014Q2,2014,2,8058,0.4
British Columbia,province,2014Q3,2014,3,8059,0.4
British Columbia,province,2014Q4,2014,4,8060,0.4
British Columbia,province,2015Q1,2015,1,8061,0.4
British Columbia,province,2015Q2,2015,2,8062,0.38
British Columbia,province,2015Q3,2015,3,8063,0.34
British Columbia,province,2015Q4,2015,4,8064,0.32
British Columbia,province,2016Q1,2016,1,8065,0.32
British Columbia,province,2016Q2,2016,2,8066,0.29
British Columbia,province,2016Q3,2016,3,8067,0.26
British Columbia,province,2016Q4,2016,4,8068,0.25
British Columbia,province,2017Q1,2017,1,8069,0.23
British Columbia,province,2017Q2,2017,2,8070,0.2
British Columbia,province,2017Q3,2017,3,8071,0.18
British Columbia,province,2017Q4,2017,4,8072,0.18
British Columbia,province,2018Q1,2018,1,8073,0.17
British Columbia,province,2018Q2,2018,2,8074,0.17
British Columbia,province,2018Q3,2018,3,8075,0.16
British Columbia,province,2018Q4,2018,4,8076,0.17
British Columbia,province,2019Q1,2019,1,8077,0.17
British Columbia,province,2019Q2,2019,2,8078,0.16
British Columbia,province,2019Q3,2019,3,8079,0.16
British Columbia,province,2019Q4,2019,4,8080,0.16
British Columbia,province,2020Q1,2020,1,8081,0.17
British Columbia,province,2020Q2,2020,2,8082,0.18
British Columbia,province,2020Q3,2020,3,8083,0.18
British Columbia,province,2020Q4,2020,4,8084,0.16
British Columbia,province,2021Q1,2021,1,8085,0.16
British Columbia,province,2021Q2,2021,2,8086,0.14
British Columbia,province,2021Q3,2021,3,8087,0.13
British Columbia,province,2021Q4,2021,4,8088,0.13
British Columbia,province,2022Q1,2022,1,8089,0.12
British Columbia,province,2022Q2,2022,2,8090,0.11
British Columbia,province,2022Q3,2022,3,8091,0.1
British Columbia,province,2022Q4,2022,4,8092,0.1
British Columbia,province,2023Q1,2023,1,8093,0.11
British Columbia,province,2023Q2,2023,2,8094,0.11
British Columbia,province,2023Q3,2023,3,8095,0.11
British Columbia,province,2023Q4,2023,4,8096,0.13
British Columbia,province,2024Q1,2024,1,8097,0.15
British Columbia,province,2024Q2,2024,2,8098,0.16
British Columbia,province,2024Q3,2024,3,8099,0.16
